iter	Passed	Remaining
187	314	1356
188	314	1351
189	315	1346
190	316	1341
191	317	1336
192	318	1331
193	319	1328
194	320	1324
195	321	1320
196	322	1314
197	323	1310
198	324	1305
199	325	1301
200	326	1297
201	327	1293
202	328	1289
203	329	1285
204	330	1281
205	331	1277
206	332	1272
207	333	1271
208	334	1267
209	335	1262
210	336	1258
211	337	1255
212	338	1251
213	339	1246
214	340	1241
215	340	1237
216	342	1234
217	343	1230
218	343	1226
219	344	1222
220	345	1218
221	346	1213
222	347	1209
223	347	1205
224	348	1201
225	350	1200
226	352	1198
227	352	1195
228	353	1191
229	354	1187
230	355	1183
231	356	1180
232	357	1176
233	358	1173
234	359	1170
235	360	1166
236	360	1162
237	361	1158
238	362	1153
239	363	1152
240	365	1150
241	366	1147
242	367	1144
243	368	1141
244	369	1137
245	370	1134
246	370	1130
247	371	1127
248	372	1124
249	373	1121
250	374	1118
251	375	1114
252	376	1111
253	377	1107
254	378	1105
255	379	1103
256	381	1101
257	382	1100
258	383	1097
259	384	1093
260	384	1089
261	385	1086
262	386	1082
263	387	1079
264	387	1076
265	388	1073
266	389	1069
267	390	1065
268	390	1062
269	391	1058
270	392	1054
271	393	1053
272	395	1052
273	396	1049
274	396	1046
275	397	1042
276	398	1038
277	398	1035
278	399	1032
279	399	1028
280	400	1025
281	401	1021
282	401	1017
283	402	1013
284	402	1010
285	403	1006
286	403	1003
287	404	999
288	405	996
289	405	993
290	406	989
291	406	986
292	407	983
293	408	980
294	408	977
295	409	974
296	410	971
297	411	968
298	412	966
299	412	963
300	413	960
301	414	956
302	414	953
303	415	950
304	415	947
305	416	943
306	416	940
307	417	937
308	417	934
309	418	931
310	419	928
311	419	925
312	420	922
313	420	919
314	421	916
315	421	913
316	422	910
317	423	907
318	424	905
319	425	903
320	425	900
321	426	898
322	427	896
323	428	893
324	429	891
325	429	888
326	430	886
327	431	883
328	432	881
329	432	878
330	433	875
331	433	873
332	434	870
333	435	867
334	435	864
335	436	863
336	437	860
337	438	858
338	439	857
339	440	855
340	441	852
341	441	850
342	442	847
343	443	845
344	443	842
345	444	840
346	444	837
347	445	834
348	445	831
349	446	829
350	447	826
351	447	824
352	448	821
353	448	819
354	449	816
355	449	814
356	450	811
357	451	808
358	451	807
359	452	804
360	453	803
361	454	801
362	455	799
363	456	796
364	456	794
365	457	791
366	457	789
367	458	787
368	458	784
369	460	783
370	460	781
371	461	778
372	462	776
373	462	774
374	463	771
375	463	769
376	464	766
377	464	764
378	465	762
379	466	760
380	467	758
381	468	757
382	469	755
383	469	753
384	470	751
385	471	749
386	472	747
387	472	745
388	473	743
389	474	741
390	475	739
391	475	737
392	476	736
393	477	734
394	477	732
395	478	730
396	479	728
397	480	726
398	481	724
399	481	722
400	483	721
401	484	719
402	484	718
403	485	716
404	486	714
405	487	712
406	487	710
407	488	708
408	489	707
409	490	705
410	490	703
411	491	701
412	492	700
413	494	699
414	495	698
415	496	696
416	497	695
417	499	695
418	500	694
419	501	692
420	502	691
421	504	690
422	505	689
423	506	687
424	506	685
425	507	684
426	508	682
427	509	681
428	510	679
429	511	677
430	512	676
431	513	675
432	514	673
433	515	672
434	516	670
435	517	668
436	517	667
437	518	665
438	519	663
439	519	661
440	520	659
441	521	657
442	521	656
443	522	654
444	524	653
445	525	652
446	526	650
447	527	649
448	527	647
449	528	646
450	529	644
451	530	642
452	530	641
453	531	639
454	532	637
455	532	635
456	533	634
457	534	632
458	535	631
459	536	629
460	537	627
461	537	626
462	538	624
463	539	623
464	540	621
465	541	620
466	542	619
467	543	617
468	544	616
469	545	614
470	546	613
471	547	612
472	548	611
473	548	609
474	549	607
475	550	605
476	550	603
477	551	601
478	551	600
479	552	598
480	552	596
481	553	594
482	554	593
483	554	591
484	555	589
485	555	587
486	556	586
487	556	584
488	557	582
489	559	582
490	560	580
491	561	579
492	561	577
493	562	576
494	563	574
495	563	573
496	564	571
497	565	569
498	565	568
499	566	566
500	567	564
501	567	563
502	568	561
503	568	559
504	569	557
505	569	556
506	570	554
507	570	552
508	571	551
509	572	550
510	573	548
511	574	547
512	575	546
513	575	544
514	576	542
515	577	541
516	577	539
517	578	538
518	578	536
519	579	534
520	579	533
521	580	531
522	581	529
523	581	528
524	582	526
525	582	525
526	583	523
527	583	522
528	584	520
529	585	518
530	585	517
531	586	515
532	587	514
533	588	513
534	588	511
535	589	510
536	590	508
537	590	507
538	591	505
539	592	504
540	592	503
541	593	501
542	594	500
543	594	498
544	595	497
545	596	496
546	597	495
547	598	493
548	599	492
549	600	491
550	601	489
551	602	488
552	603	487
553	604	486
554	605	485
555	606	484
556	607	482
557	607	481
558	608	480
559	609	478
560	610	477
561	611	476
562	612	475
563	614	474
564	614	473
565	615	472
566	616	470
567	617	469
568	618	468
569	619	467
570	620	465
571	620	464
572	621	463
573	622	461
574	622	460
575	623	458
576	623	457
577	624	455
578	625	454
579	625	453
580	626	451
581	626	450
582	627	448
583	627	447
584	628	445
585	628	444
586	629	442
587	630	441
588	630	439
589	631	438
590	632	437
591	633	436
592	634	435
593	635	434
594	635	432
595	636	431
596	637	430
597	638	429
598	639	427
599	640	427
600	641	426
601	642	424
602	643	423
603	643	421
604	644	420
605	645	419
606	645	418
607	646	416
608	647	415
609	648	414
610	649	413
611	649	412
612	650	410
613	651	409
614	652	408
615	653	407
616	653	405
617	654	404
618	654	403
619	655	401
620	656	400
621	656	399
622	657	397
623	657	396
624	658	394
625	658	393
626	659	392
627	659	390
628	660	389
629	660	388
630	661	386
631	662	385
632	663	384
633	664	383
634	664	382
635	665	380
636	665	379
637	666	378
638	666	376
639	667	375
640	667	374
641	668	372
642	668	371
643	669	370
644	670	368
645	670	367
646	671	366
647	671	364
648	672	363
649	672	362
650	673	360
651	673	359
652	674	358
653	674	357
654	675	355
655	676	354
656	676	353
657	678	352
658	679	351
659	680	350
660	681	349
661	682	348
662	683	347
663	684	346
664	684	344
665	685	343
666	686	342
667	686	341
668	687	340
669	688	339
670	689	337
671	690	336
672	691	335
673	693	335
674	694	334
675	695	333
676	696	332
677	696	330
678	697	329
679	698	328
680	699	327
681	699	326
682	700	325
683	701	324
684	701	322
685	702	321
686	703	320
687	703	319
688	704	317
689	705	316
690	706	315
691	706	314
692	707	313
693	708	312
694	709	311
695	709	309
696	710	308
697	710	307
698	711	306
699	711	305
700	712	303
701	713	302
702	713	301
703	714	300
704	715	299
705	716	298
706	716	297
707	717	295
708	718	294
709	718	293
710	719	292
711	720	291
712	721	290
713	721	289
714	722	288
715	723	287
716	724	285
717	724	284
718	725	283
719	726	282
720	727	281
721	727	280
722	728	279
723	728	277
724	730	276
725	730	275
726	731	274
727	731	273
728	732	272
729	733	271
730	733	270
731	734	268
732	735	267
733	736	266
734	737	265
735	738	264
736	738	263
737	739	262
738	740	261
739	741	260
740	742	259
741	742	258
742	743	257
743	744	256
744	744	254
745	745	253
746	745	252
747	746	251
748	747	250
749	747	249
750	748	248
751	749	247
752	749	245
753	750	244
754	751	243
755	752	242
756	753	241
757	754	240
758	755	239
759	756	238
760	756	237
761	757	236
762	758	235
763	758	234
764	759	233
765	760	232
766	761	231
767	762	230
768	762	229
769	763	228
770	764	226
771	765	225
772	765	224
773	766	223
774	767	222
775	768	221
776	769	220
777	770	219
778	770	218
779	771	217
780	773	216
781	774	215
782	775	214
783	775	213
784	776	212
785	777	211
786	778	210
787	779	209
788	779	208
789	780	207
790	781	206
791	782	205
792	783	204
793	783	203
794	784	202
795	786	201
796	786	200
797	787	199
798	787	198
799	788	197
800	788	195
801	789	194
802	789	193
803	790	192
804	791	191
805	792	190
806	792	189
807	793	188
808	793	187
809	794	186
810	795	185
811	796	184
812	796	183
813	797	182
814	798	181
815	799	180
816	800	179
817	801	178
818	801	177
819	802	176
820	802	175
821	803	173
822	803	172
823	804	171
824	805	170
825	805	169
826	806	168
827	806	167
828	807	166
829	808	165
830	808	164
831	809	163
832	809	162
833	810	161
834	811	160
835	812	159
836	813	158
837	814	157
838	814	156
839	815	155
840	816	154
841	816	153
842	817	152
843	818	151
844	818	150
845	819	149
846	820	148
847	821	147
848	822	146
849	822	145
850	823	144
851	824	143
852	825	142
853	825	141
854	826	140
855	827	139
856	828	138
857	829	137
858	830	136
859	830	135
860	831	134
861	832	133
862	833	132
863	833	131
864	835	130
865	836	129
866	837	128
867	838	127
868	839	126
869	839	125
870	840	124
871	841	123
872	842	122
873	843	121
874	844	120
875	845	119
876	845	118
877	846	117
878	847	116
879	848	115
880	848	114
881	849	113
882	849	112
883	850	111
884	851	110
885	852	109
886	853	108
887	854	107
888	855	106
889	856	105
890	857	104
891	858	103
892	859	102
893	860	101
894	860	101
895	861	100
896	862	99
897	863	98
898	864	97
899	865	96
900	865	95
901	866	94
902	867	93
903	868	92
904	869	91
905	870	90
906	871	89
907	872	88
908	873	87
909	874	86
910	875	85
911	876	84
912	877	83
913	879	82
914	880	81
915	881	80
916	882	79
917	883	78
918	884	77
919	885	76
920	886	76
921	887	75
922	888	74
923	889	73
924	889	72
925	890	71
926	891	70
927	892	69
928	893	68
929	894	67
930	894	66
931	896	65
932	897	64
933	898	63
934	899	62
935	900	61
936	902	60
937	903	59
938	905	58
939	905	57
940	906	56
941	907	55
942	908	54
943	909	53
944	910	52
945	911	52
946	911	51
947	912	50
948	913	49
949	915	48
950	916	47
951	918	46
952	919	45
953	920	44
954	922	43
955	923	42
956	924	41
957	925	40
958	925	39
959	926	38
960	927	37
961	928	36
962	928	35
963	929	34
964	930	33
965	932	32
966	933	31
967	934	30
968	935	29
969	937	28
970	937	28
971	938	27
972	939	26
973	940	25
974	941	24
975	942	23
976	943	22
977	943	21
978	944	20
979	945	19
980	947	18
981	948	17
982	949	16
983	950	15
984	951	14
985	952	13
986	953	12
987	954	11
988	956	10
989	956	9
990	958	8
991	958	7
992	959	6
993	960	5
994	961	4
995	962	3
996	962	2
997	963	1
998	964	0
999	965	0
